Datum,Last
2023-06-23T06:45+02:00,52782.6
2023-06-23T07:00+02:00,54547.9
2023-06-23T07:15+02:00,55644.6
2023-06-23T07:30+02:00,56461
2023-06-23T07:45+02:00,57578.8
2023-06-23T08:00+02:00,58391
2023-06-23T08:15+02:00,59088.9
2023-06-23T08:30+02:00,59120.4
2023-06-23T08:45+02:00,59558
2023-06-23T09:00+02:00,59566.2
2023-06-23T09:15+02:00,59773.3
2023-06-23T09:30+02:00,59952.9
2023-06-23T09:45+02:00,60483.3
2023-06-23T10:00+02:00,60761.5
2023-06-23T10:15+02:00,61298.2
2023-06-23T10:30+02:00,61594.3
2023-06-23T10:45+02:00,61828.8
2023-06-23T11:00+02:00,61883.5
2023-06-23T11:15+02:00,62308
2023-06-23T11:30+02:00,62284.3
2023-06-23T11:45+02:00,62041.3
2023-06-23T12:00+02:00,61132.7
2023-06-23T12:15+02:00,61225.6
2023-06-23T12:30+02:00,61073.1
2023-06-23T12:45+02:00,60716.6
2023-06-23T13:00+02:00,60149.2
2023-06-23T13:15+02:00,59581.2
2023-06-23T13:30+02:00,59052.5
2023-06-23T13:45+02:00,58139
2023-06-23T14:00+02:00,57417.8
2023-06-23T14:15+02:00,56980.3
2023-06-23T14:30+02:00,56630.7
2023-06-23T14:45+02:00,56207.9
2023-06-23T15:00+02:00,56233.7
2023-06-23T15:15+02:00,55857.8
2023-06-23T15:30+02:00,55532.6
2023-06-23T15:45+02:00,55038.2
2023-06-23T16:00+02:00,55450.2
2023-06-23T16:15+02:00,55075.2
2023-06-23T16:30+02:00,55215.9
2023-06-23T16:45+02:00,55493.9
2023-06-23T17:00+02:00,55982.9
2023-06-23T17:15+02:00,56234.9
2023-06-23T17:30+02:00,56007.3
2023-06-23T17:45+02:00,56068.4
2023-06-23T18:00+02:00,55743.8
2023-06-23T18:15+02:00,55304.3
2023-06-23T18:30+02:00,54849.4
2023-06-23T18:45+02:00,55083.7
2023-06-23T19:00+02:00,54854.7
2023-06-23T19:15+02:00,54098.8
2023-06-23T19:30+02:00,53557.4
2023-06-23T19:45+02:00,53307.3
2023-06-23T20:00+02:00,52796.1
2023-06-23T20:15+02:00,51896.9
2023-06-23T20:30+02:00,51241.5
2023-06-23T20:45+02:00,50758.5
2023-06-23T21:00+02:00,50265.4
2023-06-23T21:15+02:00,49806.2
2023-06-23T21:30+02:00,48994.9
2023-06-23T21:45+02:00,48709.6
2023-06-23T22:00+02:00,48284.5
2023-06-23T22:15+02:00,47956.6
2023-06-23T22:30+02:00,47527
2023-06-23T22:45+02:00,46823.6
2023-06-23T23:00+02:00,45715.9
2023-06-23T23:15+02:00,45155.1
2023-06-23T23:30+02:00,44379.7
2023-06-23T23:45+02:00,43960.2
